model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,fit_time_mean_sec,score_time_mean_sec
hybrid_tfidf_sgd,0.9945945945945945,0.00740165618250223,0.9949999999999999,0.007453559924999273,0.9949976549064059,0.0068506355136662925,0.9945924819857103,0.007404790360121874,0.9951993805652343,0.007120764005280399,0.9949999999999999,0.007453559924999273,2.703309679031372,0.5501814365386963
hybrid_tfidf_linear_svm,0.9919639639639641,0.011946095415748533,0.99,0.014907119849998587,0.9923327648331213,0.01146244913455299,0.991870687052544,0.012103285007612182,0.9951993805652343,0.0071207640052804,0.99,0.014907119849998587,3.0842216491699217,0.774906063079834
soft_voting_ensemble,0.983891891891892,0.011231745102342264,0.9816666666666667,0.012360330811826109,0.9848003178562299,0.010602640497547243,0.9837808878516338,0.011310372713102857,0.9885733643050715,0.00943807528442128,0.9816666666666667,0.012360330811826109,4.088870573043823,1.7595015048980713
word_tfidf_logistic,0.9784864864864865,0.020488950543931943,0.9733333333333334,0.025276251480171884,0.9792183072742194,0.020123963107697717,0.9780322821030281,0.021177416631369256,0.9875127582444655,0.011432045847760903,0.9733333333333334,0.025276251480171884,0.9558167457580566,0.08367466926574707
word_tfidf_extra_trees,0.9677477477477477,0.015370330441102436,0.9600000000000002,0.019002923751652346,0.9688009221015014,0.01531395501416226,0.9670551965495024,0.01599864490651581,0.9813130085393272,0.00841266555107869,0.9600000000000002,0.019002923751652346,1.0590178966522217,0.14310579299926757
hybrid_tfidf_complement_nb,0.9596756756756758,0.02131212422710379,0.9474603174603174,0.02744356769648063,0.9580690961187642,0.024335880440124528,0.9587590478105394,0.02238511866712941,0.9739825612088799,0.01696705579676129,0.9474603174603174,0.02744356769648063,1.7380186080932618,0.5655646800994873
