model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,fit_time_mean_sec
hybrid_tfidf_sgd,0.5,0.09999999999999998,0.5000000000000001,0.11785113019775795,0.4708658008658008,0.130049063041762,0.45303896103896096,0.11172205940020866,0.3949932098388672
word_tfidf_logistic,0.48,0.1643167672515498,0.45,0.2006932429798716,0.4198941798941799,0.21415784283245484,0.4452063492063492,0.1795890721058881,0.0974013328552246
hybrid_tfidf_linear_svm,0.52,0.13038404810405296,0.45,0.12638125740085918,0.40851851851851856,0.12547304182558783,0.46355555555555555,0.11262962354001467,1.3495573997497559
soft_voting_ensemble,0.43999999999999995,0.08944271909999159,0.4333333333333334,0.12360330811826106,0.39615199615199614,0.13152641307994897,0.382049062049062,0.08214783018240508,0.6474626541137696
hybrid_tfidf_complement_nb,0.4,0.1,0.35,0.10865337342004415,0.3062530062530062,0.14348722841414788,0.3408369408369408,0.12141002877322545,0.18150229454040528
word_tfidf_extra_trees,0.36,0.151657508881031,0.3,0.12638125740085918,0.25520923520923516,0.11875423422741793,0.3062510822510823,0.14250508107290155,0.4125540256500244
